United States 1,108.59.8.193 108.59.8.193 108.59.8.193 108.59.8.193 108.59.8.193 108.59.8.193 108.59.8.193,tcp,443 992 2460 3389 5005 5555 1194
United States 1,108.59.8.193 108.59.8.193 108.59.8.193 108.59.8.193 108.59.8.193 108.59.8.193 108.59.8.193,udp,443 992 2460 3389 5005 5555 1194
United States 2,104.237.61.2 104.237.61.2 104.237.61.2 104.237.61.2 104.237.61.2 104.237.61.2 104.237.61.2,tcp,443 992 2460 3389 5005 5555 1194
United States 2,104.237.61.2 104.237.61.2 104.237.61.2 104.237.61.2 104.237.61.2 104.237.61.2 104.237.61.2,udp,443 992 2460 3389 5005 5555 1194
United States 3,50.117.24.226 50.117.24.226 50.117.24.226 50.117.24.226 50.117.24.226 50.117.24.226 50.117.24.226,tcp,443 992 2460 3389 5005 5555 1194
United States 3,50.117.24.226 50.117.24.226 50.117.24.226 50.117.24.226 50.117.24.226 50.117.24.226 50.117.24.226,udp,443 992 2460 3389 5005 5555 1194
United States 4,147.135.10.82 147.135.10.82 147.135.10.82 147.135.10.82 147.135.10.82 147.135.10.82 147.135.10.82,tcp,443 992 2460 3389 5005 5555 1194
United States 4,147.135.10.82 147.135.10.82 147.135.10.82 147.135.10.82 147.135.10.82 147.135.10.82 147.135.10.82,udp,443 992 2460 3389 5005 5555 1194
United States 5,216.107.128.44 216.107.128.44 216.107.128.44 216.107.128.44 216.107.128.44 216.107.128.44 216.107.128.44,tcp,443 992 2460 3389 5005 5555 1194
United States 5,216.107.128.44 216.107.128.44 216.107.128.44 216.107.128.44 216.107.128.44 216.107.128.44 216.107.128.44,udp,443 992 2460 3389 5005 5555 1194
United States 6,147.135.36.5 147.135.36.5 147.135.36.5 147.135.36.5 147.135.36.5 147.135.36.5 147.135.36.5,tcp,443 992 2460 3389 5005 5555 1194
United States 6,147.135.36.5 147.135.36.5 147.135.36.5 147.135.36.5 147.135.36.5 147.135.36.5 147.135.36.5,udp,443 992 2460 3389 5005 5555 1194
