United Kingdom 1 (TCP),87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61,tcp,443 992 2460 3389 5005 5555 1194
United Kingdom 1 (UDP),87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61,udp,443 992 2460 3389 5005 5555 1194
United Kingdom 2 (TCP),88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114,tcp,443 992 2460 3389 5005 5555 1194
United Kingdom 2 (UDP),88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114,udp,443 992 2460 3389 5005 5555 1194
United Kingdom 3 (TCP),185.62.86.147 185.62.86.147 185.62.86.147 185.62.86.147 185.62.86.147 185.62.86.147 185.62.86.147,tcp,443 992 2460 3389 5005 5555 1194
United Kingdom 3 (UDP),185.62.86.147 185.62.86.147 185.62.86.147 185.62.86.147 185.62.86.147 185.62.86.147 185.62.86.147,udp,443 992 2460 3389 5005 5555 1194
United Kingdom 4 (TCP),88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138,tcp,443 992 2460 3389 5005 5555 1194
United Kingdom 4 (UDP),88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138,udp,443 992 2460 3389 5005 5555 1194
United Kingdom 6 (TCP),185.62.85.108 185.62.85.108 185.62.85.108 185.62.85.108 185.62.85.108 185.62.85.108 185.62.85.108,tcp,443 992 2460 3389 5005 5555 1194
United Kingdom 6 (UDP),185.62.85.108 185.62.85.108 185.62.85.108 185.62.85.108 185.62.85.108 185.62.85.108 185.62.85.108,udp,443 992 2460 3389 5005 5555 1194
United Kingdom 7 (TCP),109.169.18.46 109.169.18.46 109.169.18.46 109.169.18.46 109.169.18.46 109.169.18.46 109.169.18.46,tcp,443 992 2460 3389 5005 5555 1194
United Kingdom 7 (UDP),109.169.18.46 109.169.18.46 109.169.18.46 109.169.18.46 109.169.18.46 109.169.18.46 109.169.18.46,udp,443 992 2460 3389 5005 5555 1194
United Kingdom 8 (TCP),95.154.213.82 95.154.213.82 95.154.213.82 95.154.213.82 95.154.213.82 95.154.213.82 95.154.213.82,tcp,443 992 2460 3389 5005 5555 1194
United Kingdom 8 (UDP),95.154.213.82 95.154.213.82 95.154.213.82 95.154.213.82 95.154.213.82 95.154.213.82 95.154.213.82,udp,443 992 2460 3389 5005 5555 1194
